,date,trip_num,trip_dur,trip_dur_avg,mean_temperature_f,mean_wind_speed_mph,events
0,2013-08-29,742,760268,1024.6199460916441,68.0,11.0,
1,2013-08-30,713,1789207,2509.406732117812,69.0,13.0,
2,2013-08-31,638,1986155,3113.0956112852664,64.0,15.0,
4,2013-09-01,705,2336253,3313.8340425531915,66.0,13.0,
3,2013-09-02,658,2051061,3117.113981762918,69.0,12.0,
6,2013-09-03,607,1125162,1853.644151565074,67.0,15.0,
5,2013-09-04,604,1058995,1753.3029801324503,68.0,19.0,
7,2013-09-05,677,1082727,1599.301329394387,66.0,21.0,
8,2013-09-06,811,1295453,1597.3526510480888,71.0,8.0,
10,2013-09-07,792,1727590,2181.300505050505,73.0,8.0,
11,2013-09-08,709,1895518,2673.509167842031,65.0,11.0,
9,2013-09-09,773,1401779,1813.4269081500647,66.0,11.0,
12,2013-09-10,892,989982,1109.8452914798206,66.0,8.0,
13,2013-09-11,882,841342,953.9024943310658,68.0,9.0,
14,2013-09-12,938,1169426,1246.722814498934,65.0,11.0,Fog
16,2013-09-13,975,1316631,1350.3907692307691,62.0,15.0,
17,2013-09-14,708,1991135,2812.337570621469,62.0,16.0,
15,2013-09-15,626,2043413,3264.238019169329,66.0,13.0,
20,2013-09-16,910,962576,1057.7758241758243,65.0,16.0,
19,2013-09-17,1076,1401816,1302.8029739776953,63.0,22.0,
18,2013-09-18,1111,1266923,1140.3447344734473,66.0,10.0,
21,2013-09-19,1047,1165981,1113.639923591213,67.0,10.0,
22,2013-09-20,1095,1022445,933.7397260273973,65.0,10.0,
23,2013-09-21,385,571484,1484.374025974026,63.0,12.0,Rain
24,2013-09-22,586,1613415,2753.267918088737,63.0,10.0,
25,2013-09-23,1055,1259708,1194.036018957346,68.0,9.0,
27,2013-09-24,1073,952985,888.1500465983224,65.0,19.0,
28,2013-09-25,1266,1616161,1276.588467614534,62.0,20.0,
29,2013-09-26,1081,924753,855.4606845513414,62.0,11.0,
30,2013-09-27,1095,1201790,1097.5251141552512,66.0,7.0,
31,2013-09-28,612,1125009,1838.25,66.0,9.0,
32,2013-09-29,523,913360,1746.3862332695985,66.0,7.0,
26,2013-09-30,973,2048636,2105.4840698869475,66.0,10.0,Fog
34,2013-10-01,1070,999630,934.2336448598131,63.0,13.0,
35,2013-10-02,1067,1082727,1014.7394564198688,62.0,14.0,
33,2013-10-03,1160,1640174,1413.943103448276,62.0,13.0,
36,2013-10-04,1085,1076824,992.4645161290323,69.0,9.0,
37,2013-10-05,716,1535323,2144.3058659217877,69.0,5.0,
38,2013-10-06,608,1581169,2600.6069078947367,70.0,5.0,
39,2013-10-07,961,900832,937.3902185223725,68.0,9.0,
40,2013-10-08,1016,1079277,1062.2805118110236,62.0,10.0,
42,2013-10-09,1071,1093984,1021.4603174603175,60.0,8.0,
41,2013-10-10,1090,1331196,1221.2807339449541,62.0,5.0,
44,2013-10-11,1013,878247,866.9763079960513,57.0,9.0,
43,2013-10-12,665,1326291,1994.4225563909774,56.0,13.0,Fog
45,2013-10-13,570,1513629,2655.4894736842107,62.0,7.0,
46,2013-10-14,1047,1165421,1113.1050620821395,64.0,5.0,
47,2013-10-15,1172,1543309,1316.816552901024,67.0,5.0,
